,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
469,2021-12-28,,0.6859836,0.6321948,0.61359155,0.6168503,0.59521574,0.56695473,0.57501006,0.6037058,0.6061764,0.60016227,0.59485465,0.6895733,0.47115648,0.69707304,,,0.6471629,0.6244392,0.6011181,0.57421684,0.54496944,0.5697402,0.59873223,0.6115997,0.58415216,0.58206534,,0.4488006,,,,,0.6574624,0.59874356,0.5716791,0.5694568,0.5850267,0.61306876,0.60237765,0.5832408,0.5983222,0.5730045,0.520734,,,,,0.6074934,0.59809923,0.6001096,0.5989954,0.6125717,0.614387,0.59084994,0.59422255,0.6272587,0.50773484,,0.6302604,,,,0.60825557,0.5937441,0.59331906,0.6088263,0.6218526,0.6171149,0.58765346,0.61336094,0.6316733,0.5478353,0.44517297,0.58632106,,0.79123133,0.74476385,0.60782194,0.59919876,0.5745052,0.5976462,0.5993625,0.5866253,0.57578063,0.5919462,0.5857367,0.5262772,0.43249258,0.57971144,0.7659449,,0.77245843,0.5803675,0.6175863,0.5976941,0.59935355,0.6098614,0.60921913,0.60010797,0.5693121,0.5598257,0.48595262,0.42921773,0.5845613,,0.7784484,0.7279391,0.6082935,0.5967958,0.6026792,0.64361703,0.63433653,0.62961733,0.6152267,0.5321218,0.53890765,0.3214321,0.5479046,0.5769374,,,,0.594452,0.5647345,0.603719,0.61335504,0.60572493,0.61696523,0.57681775,0.5002513,0.35335025,0.38346025,0.61006826,0.5940606,,,,0.55076206,0.5741165,0.5850553,0.6003216,0.6005337,0.56192374,0.52677006,0.44429746,0.31309298,0.42934722,0.62288064,0.596837,,,0.6595627,0.58757156,0.58521825,0.59507746,0.6078865,0.6178324,0.5601512,0.5392665,0.43154293,0.43488035,0.47876096,0.5451968,0.54388136,,0.6803136,0.62705964,0.5871453,0.6104603,0.58777165,0.60934716,0.63589054,0.5620637,0.54011124,0.42086428,0.49886954,0.5321668,0.5302434,0.58719623,0.6099797,0.58901167,0.5584533,0.55836934,0.5908282,0.62964123,0.6253325,0.63443655,0.56803584,0.52365655,0.43343982,0.59839773,0.59961295,0.5370241,0.55078995
470,2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,2022-01-11,0.09997632,0.67994666,0.493775,0.6600743,0.7440327,0.63922435,0.43116495,0.47899395,0.63477397,,0.7301192,0.5701174,0.21421814,0.00067393965,,0.009062284,0.17642854,0.22600034,0.6366526,0.61670685,0.47709486,0.32934377,0.35156512,0.57713336,0.690536,0.5651426,0.4863999,0.14069624,,,0.0064774435,0.013619064,0.13390061,0.5495122,0.58713746,0.4039056,0.28537953,0.2891178,0.6247075,0.6665905,0.534546,0.6357505,0.26016808,0.052985802,,0.0024295263,0.012310875,0.12879027,0.4853565,0.4951443,0.3036521,0.2423583,0.4206607,,0.63271123,0.5195687,0.6426459,0.3294565,0.06589551,0.003852245,,0.001840629,0.04762886,0.41673177,0.27524668,0.18015933,0.32457668,,,0.71898216,0.5525264,0.33857778,0.21313263,0.046222456,,,0.07839898,0.14351691,0.34106266,0.26527998,0.25692683,,,,,0.6326229,0.25526762,0.24111117,,,,0.110847056,,,0.6400824,,,,,,0.73258644,0.354068,0.43136278,,,,,,,,,,,,,0.33478647,0.04661296,,,,,,0.044909425,,,,,,,,0.48122087,,,,,,,,,,,,,,,,,,,,,,0.123642996,,,,,,,,,,,,,,0.007535936,,,,,,,,,0.18409666,,,,,0.57252175,,,,,,,,0.5474596,,,,,,
472,2022-01-18,0.09997632,0.67994666,0.493775,0.6600743,0.7440327,0.63922435,0.43116495,0.47899395,0.63477397,,0.7301192,0.5701174,0.21421814,0.00067393965,,0.009062284,0.17642854,0.22600034,0.6366526,0.61670685,0.47709486,0.32934377,0.35156512,0.57713336,0.690536,0.5651426,0.4863999,0.14069624,,,0.0064774435,0.013619064,0.13390061,0.5495122,0.58713746,0.4039056,0.28537953,0.2891178,0.6247075,0.6665905,0.534546,0.6357505,0.26016808,0.052985802,,0.0024295263,0.012310875,0.12879027,0.4853565,0.4951443,0.3036521,0.2423583,0.4206607,,0.63271123,0.5195687,0.6426459,0.3294565,0.06589551,0.003852245,,0.001840629,0.04762886,0.41673177,0.27524668,0.18015933,0.32457668,,,0.71898216,0.5525264,0.33857778,0.21313263,0.046222456,,,0.07839898,0.14351691,0.34106266,0.26527998,0.25692683,,,,,0.6326229,0.25526762,0.24111117,,,,0.110847056,,,0.6400824,,,,,,0.73258644,0.354068,0.43136278,,,,,,,,,,,,,0.33478647,0.04661296,,,,,,0.044909425,,,,,,,,0.48122087,,,,,,,,,,,,,,,,,,,,,,0.123642996,,,,,,,,,,,,,,0.007535936,,,,,,,,,0.18409666,,,,,0.57252175,,,,,,,,0.5474596,,,,,,
473,2022-01-25,0.6588688,0.69376177,0.6220925,0.6049538,0.6337518,0.61525995,0.5914334,0.59822166,0.7075107,0.66571903,0.59804046,0.60295874,0.48260307,0.34578013,0.6652163,,0.62196475,0.63072675,0.64227325,0.5918996,0.5682875,0.54071844,0.5856058,,0.6920849,0.607535,0.581175,0.5498347,,0.5180938,,,,0.6365809,0.6075197,0.56390196,0.58193994,0.63647115,0.755264,0.70132756,0.6182815,0.6334656,0.59122837,,0.37643632,,,0.61680907,0.61942863,0.62390804,0.6117524,0.61355436,,,0.6783997,0.66623944,0.6429562,0.5818235,0.4035838,,0.71007615,0.70521843,0.64216304,0.55996,0.60637987,0.583022,,0.7470058,0.7933985,0.6784861,0.5651879,0.6390969,0.5006124,0.25369707,,0.71354496,0.7136872,0.6671708,0.49930364,0.5561219,0.5826324,0.6155111,0.6738518,0.7629158,0.693992,0.5132312,0.47098386,0.4128266,0.388219,,0.7173571,0.719016,0.659536,0.5403275,0.46610445,0.5438697,0.53039575,0.5841712,0.70558447,0.74737954,0.64825445,0.36617255,0.2974272,0.41192976,,,0.69623077,0.5737675,0.57416344,0.5119521,0.55304027,0.56170464,0.5471468,0.60276765,0.69053274,0.51865715,0.2307823,0.34398288,0.5284686,,0.6179912,0.44934782,0.26641318,0.5320724,0.55358356,0.53193396,0.54586464,0.50195885,0.47689608,0.49443197,0.45545653,0.24245071,,,,0.5066815,0.1848839,0.09567137,0.4658777,0.56929374,0.51614356,0.5212824,0.5187139,0.3701258,0.25879896,0.32986152,0.46371064,,,,0.33141533,,0.08615432,0.5177367,0.5844028,0.50700593,0.5468225,0.5764265,0.49604133,,0.017452404,,,,,0.029518051,0.10163688,0.20571488,0.5530341,0.5261119,0.44229728,0.54193795,0.6138382,0.4503364,,0.12996906,,,,,0.37829995,0.7032173,0.656072,0.596063,0.5421758,0.36096925,0.42435107,0.54537314,0.31528136,0.067398526,,,,,
474,2022-02-01,0.6276094,0.61829996,0.59661216,0.5927724,0.5945204,0.5779215,0.52151203,0.5568892,0.59288347,0.60681874,0.58547527,0.5836788,0.61002165,0.38696057,0.606189,0.6414428,0.6374201,0.6072028,0.61189973,0.56843376,0.5320537,0.5048858,0.5369886,0.58160704,0.5911599,0.5588261,0.562078,0.56724364,0.4215275,0.6257596,0.68601155,0.65492123,0.62853724,0.6189501,0.5651562,0.5373612,0.52497303,0.55782247,0.59130675,0.56381756,0.55070573,0.56346625,0.47090343,0.4703606,,0.6986376,0.7062624,0.652572,0.5815643,0.5740651,0.5703423,0.5656979,0.59619516,0.5994674,0.57355523,0.55819136,0.5808076,0.41769174,0.45231098,0.5457352,0.7055422,0.7068854,0.6344981,0.57448274,0.5679358,0.56573224,0.5744239,0.60245633,0.59532845,0.557114,0.5718263,0.55853987,0.44875783,0.37796488,0.6011442,0.70196146,0.7045044,0.68063724,0.58452904,0.5706241,0.5623519,0.5969917,0.59983945,0.5736628,0.56397283,0.55046064,0.5199372,0.42179343,0.36851603,0.6238959,0.70285434,0.7040109,0.6967852,0.6005165,0.61903316,0.6305171,0.61004555,0.60834354,0.597356,0.5686591,0.5023269,0.49062398,0.4365178,0.4077206,0.60586524,0.7028466,0.6996255,0.67172486,0.63111484,0.6039301,0.63647187,0.6665579,0.64560664,0.6241196,0.5916215,0.44815776,0.46563458,0.40472266,0.5735525,0.59816223,,0.6957573,,0.5978475,0.61002374,0.6236082,0.6466918,0.62868565,0.5857427,0.54056966,0.48038188,,0.4639775,0.58408844,0.5976961,,,,0.5818612,0.63555557,0.6182958,0.62122864,0.6049879,0.5352218,0.5018616,0.4956653,0.3709724,0.5888901,0.595156,0.59420085,,,,0.62607545,0.6306771,0.6277916,0.622333,0.6211207,0.5081457,0.49471682,0.4158368,0.40760937,0.60887414,0.57614654,0.5983055,0.54289305,0.57728255,0.5801744,0.62795764,0.6540411,0.63216233,0.620779,0.63882136,0.5240879,0.5100931,0.3511049,0.47801048,0.6060638,0.58531624,0.6086254,0.55746686,0.61845064,0.5832099,0.5919502,0.64021164,0.6315018,0.6160888,0.598072,0.5380866,0.43911207,0.38177523,0.5896626,0.609532,0.5863519,0.58655566
475,2022-02-08,0.6272568,0.628309,0.586902,0.60461706,0.5800958,0.5680277,0.52345014,0.53878814,0.579945,0.59258187,0.5914199,0.5809798,0.57676595,0.4439351,0.5460202,0.63006985,0.5785177,0.58528686,0.60160476,0.5450141,0.52005637,0.49919903,0.5145851,0.56396157,0.57102823,0.5522699,0.5663398,0.56671375,0.43733376,0.58437204,0.68006414,,0.5898805,0.6140555,0.5465427,0.5253379,0.52235633,0.54806405,0.5903922,0.5609861,0.520629,0.58692473,0.5401978,0.37171015,,0.6947258,0.6995934,0.63042563,0.5864439,0.5580663,0.56991506,0.55846214,0.5893806,0.5904806,0.56750214,0.581822,0.5624326,0.4907115,0.32531294,0.55287886,0.6927252,0.70422995,0.6385198,0.55181444,0.5589314,0.56267214,0.56574017,0.57799476,0.5794235,0.5699082,0.5731566,0.56288135,0.42056194,0.33766767,0.55215657,0.6911758,0.70119494,0.6357351,0.5804493,0.5514966,0.5732352,0.5670178,0.59104013,0.5716623,0.5600391,0.5572595,0.5429423,0.37050435,0.48673207,0.59257305,0.69102514,0.683237,0.6747632,0.56911385,0.59638554,0.6070986,0.5967455,0.62914276,0.6043856,0.5671327,0.520863,0.4772419,0.35375693,0.54348284,0.6145826,0.699684,0.6779301,0.66863805,0.5927705,0.602853,0.6134705,0.63574344,0.63166344,0.6169881,0.5612712,0.46621278,0.4036665,0.39718398,0.57161194,0.6044094,0.6892016,0.6851095,0.62505704,0.5979889,0.6011147,0.6092499,0.62494594,0.628767,0.5795986,0.5223858,0.43130654,0.4099389,0.4882718,0.5722103,0.5863736,,,,0.6081846,0.6095415,0.600302,0.59027714,0.6121528,0.5710097,0.5127288,0.47976232,0.4090927,0.56096345,0.5897765,0.60053515,,,,0.5830753,0.61357546,0.6119996,0.6015519,0.6180175,0.55537456,0.50266796,0.4620607,0.49963757,0.5717523,0.57620376,0.58129907,,,0.59272844,0.5827013,0.6195235,0.6151115,0.6233956,0.6085961,0.5498133,0.51823294,0.48495305,0.6013885,0.5513208,0.58586645,0.5717238,0.5956252,0.5777873,0.5437068,0.5750526,0.6038576,0.64010787,0.64269435,0.59875065,0.51544535,0.5388969,0.5344206,0.6473546,0.58298165,0.5803407,0.5695431
476,2022-02-15,0.6289678,0.6456453,0.57776695,0.5974653,0.581634,0.55911297,0.51740825,0.52664715,0.5800397,0.58326995,0.587654,0.57341415,0.5296807,0.4971253,0.60311615,0.66369295,0.5785109,0.59019154,0.5975346,0.5489853,0.5179367,0.49354234,0.5160612,0.56054586,0.5668259,0.5467496,0.5578731,0.53411424,0.5133869,0.57759833,0.694283,0.68600374,0.60241735,0.6001114,0.5399958,0.51945865,0.51516736,0.54223144,0.57772315,0.54888314,0.5328111,0.60708356,0.54700863,0.4672153,0.5986457,0.7081142,0.7065714,0.6104221,0.58303714,0.54734814,0.5629467,0.5525437,0.5914753,0.57807356,0.5544879,0.5607921,0.59518117,0.53175807,0.37449986,,0.7063081,0.7059203,0.6499902,0.5514295,0.5447526,0.5577221,0.56326073,0.5767431,0.57838124,0.56474733,0.57874006,0.56285506,0.47176963,0.33985186,0.6328203,0.7000892,0.70183563,0.6594898,0.5689326,0.5495551,0.56037706,0.57161516,0.5822998,0.56614435,0.55768037,0.5432222,0.5158021,0.39865333,0.45442873,0.63708806,0.70213336,0.6951203,0.6633889,0.5762411,0.584222,0.6085106,0.5965039,0.6262907,0.5972484,0.5736866,0.51336336,0.47899863,0.36180177,0.5217686,0.6307017,0.7138725,0.6728208,0.6752606,0.5631359,0.58904266,0.60090375,0.63125545,0.623932,0.6193067,0.5755967,0.46351323,0.4027017,0.32767266,0.55917895,0.62887985,,0.68256295,,0.5931821,0.5960802,0.6064985,0.6240218,0.6251946,0.5855737,0.5206404,0.4281589,0.3910188,0.45672393,0.5713274,0.60183346,,,,0.5981762,0.61407715,0.59915024,0.6032029,0.6042141,0.5736003,0.5217473,0.45927447,0.39357153,0.5568689,0.60179853,0.60993725,,,0.6195055,0.5987551,0.61376107,0.6098803,0.6028418,0.6231618,0.557967,0.5085662,0.47464135,0.44807035,0.57502705,0.59246653,0.6055886,,,0.5968818,0.5693866,0.6282526,0.6104674,0.6200647,0.6048066,0.54988694,0.53077585,0.53407156,0.5703028,0.5806283,0.5934692,0.58660144,0.5847727,0.5771415,0.5522987,0.56700104,0.6121157,0.6278927,0.63822955,0.5917352,0.52525204,0.5219019,0.5533391,0.57561815,0.587114,0.574922,0.5809543
477,2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,2022-03-08,0.025634484,0.17225128,0.27217236,0.34099784,0.3128706,0.27010816,0.2009512,0.20797244,0.24302079,0.23022364,0.15732227,0.23925903,,,,,0.03540074,0.16988209,0.35138026,0.30033216,0.27213275,0.18916126,0.21745683,0.2036952,0.20042953,0.14828019,0.1937571,,,,,0.009088396,0.051227685,0.33683428,0.3222569,0.34394383,0.2782469,0.29958615,0.32481363,0.25778407,0.1673464,0.175051,0.010244225,,,,0.031787883,0.04838419,0.28449222,0.36496335,0.41326478,0.35604143,0.36691993,0.33239034,0.20112956,0.1895146,0.12298821,,,,,0.0013065063,0.08794243,0.19819017,0.28826576,0.3074294,0.28227854,0.33136117,0.34975505,0.20014988,0.1392956,0.04558904,0.012242943,,0.46162573,,,0.019320115,0.20008662,0.29240513,0.38465315,0.25699762,0.24939167,0.2261574,0.2122076,0.11139865,0.0063827997,0.03902566,0.021096908,0.5857133,,,,0.21132758,0.21827681,0.23326777,0.25751457,0.22217794,0.18670267,0.18293495,0.050007544,0.045753717,0.028319132,0.1097008,0.5630453,,,,0.21453214,0.23364203,0.2443991,0.25615165,0.20760107,0.15684868,0.1507713,,,0.05065891,0.4021151,0.534054,,,,0.19518702,0.25466996,0.22440721,0.24769193,0.19450761,0.090945885,0.120588206,,,0.22090061,0.508415,0.53996927,,,,0.2438975,0.24726133,0.24862482,0.23844051,0.17924294,0.0927071,0.029264864,,,0.43662795,0.5502436,0.54399467,,,,0.24342555,0.25013486,0.24113272,0.24329259,0.2653269,0.037807927,,,0.20118783,0.55994505,0.61443895,0.5094054,,0.056559242,0.15065792,0.24707882,0.24067774,0.20466654,0.19240086,0.31231323,,,0.013491086,0.44012138,0.58087564,0.52036476,0.43509176,0.20652148,0.42893523,0.24815166,0.24075669,0.23628354,0.15672204,0.1196395,0.22474901,,0.00046234834,0.20611456,0.6059094,0.54737926,0.46349993,0.44260162
480,2022-03-15,0.60505825,0.6018852,0.5358072,0.53985226,0.5257942,0.4989963,0.47280434,0.4717681,0.520458,0.53915167,0.5278366,0.53256065,0.5459351,0.4782773,0.55559385,0.6271599,0.54400235,0.54557914,0.53637546,0.49038777,0.4732426,0.45261255,0.46624207,0.50448686,0.5211234,0.49689844,0.5148972,0.5462106,0.45098454,0.5464242,0.67877585,0.66647863,0.55301875,0.554709,0.4919417,0.48000568,0.47260877,0.49728155,0.5297649,0.5072477,0.47719917,0.52241564,0.5301528,0.4186677,0.53193134,0.68728715,0.68124604,0.5932817,0.53643304,0.50234264,0.5198146,0.5095886,0.5372659,0.53480864,0.5061618,0.51054066,0.5218839,0.47617516,0.38268694,0.49227175,0.68351275,0.6858219,0.61102456,0.5027864,0.5073681,0.5072022,0.5101343,0.523165,0.5246486,0.5139504,0.51063335,0.4968201,0.41911268,0.35713005,0.524848,0.67519164,0.6806445,0.6146019,0.5319922,0.5035183,0.5165392,0.50715905,0.53070337,0.5102197,0.5029672,0.48950794,0.46594188,0.36379197,0.41957894,0.5817265,0.6905299,0.66315633,0.6341691,0.5263366,0.5257307,0.55092937,0.5336293,0.55526644,0.5406662,0.52514726,0.47638637,0.41111717,0.36730844,0.4390532,0.64118433,0.6979705,0.66127837,0.634341,0.52578646,0.5424665,0.5424734,0.559613,0.56989413,0.56019,0.51101154,0.42815742,0.35708693,0.35205024,0.505065,0.572441,0.6745429,0.6631028,0.6090469,0.54242396,0.55050755,0.5369517,0.55706644,0.5643077,0.5143939,0.47212335,0.41636762,0.30953473,0.43617958,0.54025906,0.55213785,0.65994585,0.6554258,0.6006829,0.54906183,0.5574145,0.5401602,0.5507651,0.54322135,0.50444216,0.47447795,0.4433153,0.31675676,0.5364926,0.55361366,0.56171215,0.6619777,0.6442214,0.59326184,0.5318189,0.57754254,0.5506174,0.55406624,0.55916995,0.5133428,0.4489659,0.42122537,0.4164216,0.512763,0.5711097,0.57480633,0.6253819,0.57686615,0.5524053,0.5321658,0.56734955,0.5590896,0.55962193,0.5560639,0.49287108,0.4450141,0.38011736,0.46052277,0.5414039,0.56794506,0.5473677,0.51606786,0.5354865,0.4968257,0.53610325,0.5547564,0.5780133,0.57547385,0.55729747,0.45774746,0.46133095,0.47623238,0.53350997,0.5510348,0.5537805,0.5591994
481,2022-03-22,0.6037467,0.58285767,0.5586681,0.53578436,0.5290781,0.50513047,0.47537884,0.4746077,0.5339827,0.54209155,0.53111625,0.53174543,0.59298664,0.4028986,0.6024094,0.6248159,0.5677928,0.53149617,0.53953916,0.49892527,0.47100455,0.44917777,0.4706648,0.51441467,0.52329344,0.50186336,0.5229826,0.5508028,0.4147262,0.59749585,0.6872644,0.64349216,0.5710256,0.55751103,0.49248892,0.48766527,0.48246744,0.51782334,0.53441554,0.50276047,0.50021094,0.5259268,0.4641214,0.45540854,0.55686945,0.68934435,0.6689203,0.60035634,0.52222157,0.50898755,0.5242781,0.52061343,0.53652334,0.53644085,0.50648665,0.5125951,0.5310896,0.40588635,0.42353544,0.5448785,0.6836603,0.682674,0.57643163,0.50353175,0.50277436,0.51131874,0.5131114,0.5302745,0.5355731,0.5046344,0.50813603,0.48982352,0.37431362,0.40171137,0.5265576,0.67409676,0.6796358,0.6144844,0.5327796,0.5125755,0.5175279,0.5250442,0.5306942,0.51676303,0.5115739,0.49980265,0.45979124,0.3511784,0.42797673,0.57433176,0.6905963,0.66256356,0.6436769,0.4996317,0.52521855,0.56202185,0.54342383,0.557524,0.5401129,0.5017403,0.4551058,0.39336047,0.36490566,0.4533324,0.5918966,0.68477166,0.6702296,0.61104685,0.54047763,0.5523814,0.5562254,0.57424086,0.5737681,0.56672186,0.52240986,0.4145234,0.34196228,0.35363907,0.5256018,0.6050805,0.67531013,0.6609351,0.5853424,0.54782987,0.54421616,0.54829645,0.56674844,0.5692059,0.5154272,0.45546818,0.40586105,0.29552966,0.42156792,0.56945294,0.5896573,0.66483986,0.6461629,0.5819219,0.53462076,0.5668371,0.55387527,0.55825883,0.5724449,0.53610086,0.47179747,0.45884743,0.34396186,0.52295345,0.5914241,0.60335016,0.66263664,0.61150277,0.588311,0.5320468,0.5684677,0.55643225,0.56523323,0.5809476,0.50281316,0.44462743,0.388112,0.40520042,0.5571985,0.6066083,0.6077548,0.6156421,0.59214467,0.5528755,0.5131123,0.5846356,0.56608945,0.57292527,0.58789,0.4855577,0.48506546,0.4644983,0.5308889,0.5546591,0.59750485,0.5750111,0.53629905,0.5133968,0.5094612,0.52656126,0.5718224,0.5689237,0.55915606,0.5631152,0.4581606,0.50154006,0.5136438,0.5659467,0.58267987,0.57360256,0.56158847
482,2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,2022-04-05,0.16576956,0.16844372,0.17674758,0.18595849,0.20100729,0.21321645,0.22511414,0.23356335,0.23047991,0.235708,0.2493546,0.26202092,0.27998784,0.2763508,0.3110659,0.17630893,0.17861862,0.1841353,0.19190313,0.2093796,0.22680904,0.23830646,0.24081548,0.24211957,0.2390429,0.24589494,0.26167446,0.27779886,0.28370804,0.30675,0.18447332,0.18611388,0.18816993,0.19575918,0.2106343,0.22116035,0.23083691,0.23809355,0.25339356,0.25687128,0.25650832,0.27022287,0.2786308,0.28887823,0.29505175,0.18202952,0.1848923,0.18830281,0.19751625,0.2064248,0.21101984,0.22042651,0.22962222,0.24229945,0.25766063,0.2645207,0.27950224,0.27794194,0.2850489,0.29189444,0.17441268,0.17819613,0.18324672,0.19038428,0.20129056,0.2071658,0.21523155,0.22713412,0.24121292,0.25605226,0.26603398,0.2781236,0.27929989,0.27920374,0.28880176,0.17363511,0.18046454,0.18397361,0.19468364,0.20889583,0.20951681,0.21759674,0.23342264,0.24593772,0.25655568,0.2650082,0.27389303,0.28238842,0.2831409,0.2952572,0.1741722,0.18158929,0.18935823,0.19257815,0.1976972,0.20637317,0.22362493,0.24394423,0.25401878,0.26274705,0.26535657,0.26954353,0.27362913,0.28150502,0.29720733,0.17843498,0.1839624,0.1904674,0.19810027,0.20573781,0.2118491,0.22715035,0.24634099,0.25566328,0.26321658,0.2638682,0.26742917,0.2719798,0.28568938,0.29524195,0.18714724,0.18996051,0.19677545,0.2112701,0.21274956,0.2184594,0.23347823,0.24733897,0.25349498,0.26017305,0.26116705,0.2674777,0.27449834,0.29147637,0.29785797,0.19592074,0.20285068,0.2049121,0.21549378,0.2184977,0.22785312,0.24195647,0.25194255,0.25837183,0.26418957,0.26233113,0.26482627,0.28148943,0.29379007,0.2978097,0.20595542,0.21042575,0.21855427,0.2234659,0.22205523,0.22975273,0.25093085,0.26179776,0.26704618,0.27496788,0.27215037,0.2715128,0.28242102,0.29713744,0.3014269,0.20749478,0.21428356,0.22115268,0.22565643,0.23049846,0.23600017,0.2590438,0.26818857,0.2734847,0.28394356,0.28242484,0.27982372,0.28362978,0.2923395,0.29995498,0.21080546,0.21333665,0.21779203,0.22465384,0.22934449,0.23802629,0.25909325,0.26914087,0.2725523,0.27816245,0.28033367,0.285533,0.28958356,0.29674777,0.29888162
484,2022-04-12,0.6220348,0.5938855,0.5389636,0.55763966,0.560666,0.5500264,0.5232611,0.5161627,0.5513214,0.5490983,0.53372896,0.52909267,0.55737895,0.56655085,0.6648329,0.6522816,0.58161443,0.5568363,0.56242675,0.54536366,0.52811134,0.5068513,0.5132307,0.5494029,0.5427448,0.5279566,0.53694695,0.5879307,0.5573623,0.6144199,0.6772878,0.642964,0.5515843,0.54830545,0.54063815,0.5368077,0.5302871,0.53878134,0.55179465,0.5388668,0.5298066,0.53844833,0.56530386,0.51937103,0.5554307,0.6894503,0.6698619,0.5561535,0.533268,0.5366553,0.55165195,0.5493232,0.5576981,0.55083686,0.5358212,0.5373073,0.544814,0.53519356,0.4239553,0.5027751,0.6954161,0.67112845,0.5981224,0.49954212,0.5269972,0.53735965,0.5474391,0.54746234,0.54991585,0.533922,0.52816904,0.5568382,0.47729912,0.41379142,0.5022502,0.6938286,0.6834573,0.60404456,0.5311973,0.5272867,0.53635097,0.5381802,0.5405226,0.53329307,0.5264503,0.5145623,0.52495456,0.42570862,0.46290827,0.53039634,0.7004452,0.68349445,0.6199795,0.5343197,0.52933437,0.5465231,0.54236186,0.5490975,0.5429068,0.53701764,0.5007176,0.4783341,0.39831895,0.4812665,0.5409097,0.6862037,0.67978317,0.6363794,0.51596236,0.542898,0.5499215,0.5480046,0.5620091,0.55561376,0.5468661,0.48046872,0.42951322,0.39021698,0.52731776,0.53855014,0.6711707,0.67555493,0.60385954,0.5201556,0.5482719,0.5501025,0.5494266,0.5531933,0.52168167,0.501781,0.47102705,0.37822893,0.4515432,0.5443819,0.5342937,0.66117626,0.6646271,0.5769822,0.52914125,0.54640466,0.5500863,0.55184215,0.54488385,0.505548,0.5082259,0.477501,0.35734516,0.51829386,0.52909654,0.54249454,0.6590575,0.64644486,0.56250703,0.5185507,0.5486952,0.5454425,0.5488937,0.55456793,0.53863513,0.54824245,0.51245004,0.4350126,0.5221887,0.530063,0.54840434,0.6171031,0.5729333,0.5192958,0.5000866,0.538354,0.5404499,0.55387485,0.5696444,0.55865943,0.5453812,0.5207365,0.48917553,0.52118903,0.5362519,0.5395237,0.527542,0.5061693,0.49262917,0.5079202,0.52456945,0.5326283,0.55206656,0.547218,0.54488724,0.49954867,0.50046724,0.53138226,0.551803,0.5521348,0.5243406
