,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
420,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,2021-02-16,0.39835006,0.39274564,0.3517153,0.3227063,0.3437734,0.37283853,0.37212262,0.3473126,0.32655197,0.32771558,0.32724774,0.3291319,0.3892073,0.3646294,0.32138756,0.32578635,0.33355603,0.35461727,0.35476944,0.32307276,0.30933633,0.33060387,0.32767496,0.32882535,0.3743922,0.34508684,0.33162633,0.33213893,0.32931128,0.32715362,0.3345207,0.3336788,0.32645926,0.32855535,0.32849634,0.32115892,0.35739514,0.35077456,0.33583003,0.33443016,0.3392189,0.32629824,0.32697317,0.3322573,0.33554223,0.32829773,0.3210686,0.31885567,0.37020844,0.35602814,0.3301348,0.32621762,0.33292317,0.32710797,0.33381337,0.33144826,0.33087707,0.33122554,0.32264453,0.32801938,0.3762186,0.36179042,0.3473644,0.33254007,0.32848915,0.32950348,0.3293342,0.32663372,0.32805568,0.33132273,0.32671186,0.31537756,0.38055372,0.35887966,0.35229328,0.33838734,0.33006465,0.33425698,0.3265696,0.33148745,0.33021426,0.32669514,0.32657465,0.31439534,0.3553063,0.33727434,0.34869117,0.35176492,0.3371256,0.33999458,0.3210714,0.3220253,0.31896704,0.31734636,0.31746063,0.32027414,0.35242045,0.3337228,0.3322926,0.32313812,0.32234034,0.32545152,0.3103231,0.3093131,0.3088626,0.31177846,0.31805852,0.31805852,0.33049732,0.32597378,0.3226257,0.32674095,0.32600844,0.31796095,0.31001914,0.312109,0.3061045,0.31621408,0.32367498,0.32367498
425,2021-02-23,0.39835006,0.39274564,0.3517153,0.3227063,0.3437734,0.37283853,0.37212262,0.3473126,0.32655197,0.32771558,0.32724774,0.3291319,0.3892073,0.3646294,0.32138756,0.32578635,0.33355603,0.35461727,0.35476944,0.32307276,0.30933633,0.33060387,0.32767496,0.32882535,0.3743922,0.34508684,0.33162633,0.33213893,0.32931128,0.32715362,0.3345207,0.3336788,0.32645926,0.32855535,0.32849634,0.32115892,0.35739514,0.35077456,0.33583003,0.33443016,0.3392189,0.32629824,0.32697317,0.3322573,0.33554223,0.32829773,0.3210686,0.31885567,0.37020844,0.35602814,0.3301348,0.32621762,0.33292317,0.32710797,0.33381337,0.33144826,0.33087707,0.33122554,0.32264453,0.32801938,0.3762186,0.36179042,0.3473644,0.33254007,0.32848915,0.32950348,0.3293342,0.32663372,0.32805568,0.33132273,0.32671186,0.31537756,0.38055372,0.35887966,0.35229328,0.33838734,0.33006465,0.33425698,0.3265696,0.33148745,0.33021426,0.32669514,0.32657465,0.31439534,0.3553063,0.33727434,0.34869117,0.35176492,0.3371256,0.33999458,0.3210714,0.3220253,0.31896704,0.31734636,0.31746063,0.32027414,0.35242045,0.3337228,0.3322926,0.32313812,0.32234034,0.32545152,0.3103231,0.3093131,0.3088626,0.31177846,0.31805852,0.31805852,0.33049732,0.32597378,0.3226257,0.32674095,0.32600844,0.31796095,0.31001914,0.312109,0.3061045,0.31621408,0.32367498,0.32367498
426,2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2021-03-09,0.084667504,0.08820606,0.08872979,0.09164873,0.09409751,0.101363905,0.10454613,0.109052435,0.11230881,0.116198994,0.119598374,0.12194351,0.08383722,0.08627645,0.0870955,0.09384998,0.098568395,0.10277768,0.10632384,0.11045647,0.11279371,0.1171411,0.120559625,0.123090856,0.083531685,0.08498353,0.08986591,0.09789774,0.102573656,0.10362765,0.108239524,0.11168057,0.11617326,0.11987768,0.12336351,0.12324234,0.084345326,0.08670343,0.09408852,0.10016546,0.10383629,0.10748268,0.108815454,0.11225487,0.11667904,0.119893506,0.12416785,0.12500928,0.08837064,0.09191323,0.0938579,0.09910289,0.10199563,0.10821973,0.11021756,0.11274434,0.1154464,0.121163115,0.12081736,0.12672547,0.092908606,0.0931506,0.09596251,0.09847559,0.10274431,0.10817017,0.11146986,0.11520293,0.11706648,0.12103517,0.12232799,0.1249829,0.09226287,0.09358392,0.095171265,0.0988353,0.10305647,0.10830067,0.113371395,0.11580413,0.115811534,0.11974353,0.12264884,0.1263679,0.091362745,0.09292669,0.09617398,0.099843904,0.10535485,0.10812094,0.11335054,0.11328524,0.1141822,0.11569526,0.1217148,0.12589742,0.09139895,0.09659506,0.09971581,0.10232139,0.105263025,0.110558644,0.111525185,0.10961394,0.111964166,0.119356625,0.1231349,0.1231349,0.09360518,0.0968023,0.0995486,0.10212716,0.106057286,0.10829715,0.10999279,0.1117239,0.11458058,0.11825304,0.12363738,0.12363738
428,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2021-03-23,0.051044233,0.04348397,0.029777812,0.025897149,0.02846605,0.025617337,0.016445154,0.012161051,0.0098229665,0.009465591,0.008849167,0.010893017,0.047773123,0.04402822,0.029016115,0.021003844,0.021043543,0.019738827,0.015008377,0.013032049,0.011635824,0.011998652,0.011365664,0.010307119,0.046383098,0.03812092,0.026883481,0.021757117,0.01985782,0.020634083,0.016908616,0.015912704,0.016414186,0.014532285,0.014863142,0.011751024,0.050400212,0.033467274,0.01758662,0.017234178,0.016173944,0.016174544,0.015208261,0.014674736,0.017213998,0.015448861,0.012090321,0.01203078,0.04485508,0.029724387,0.02086627,0.017019462,0.014334476,0.013355951,0.01328569,0.013675038,0.013672101,0.013682678,0.013622019,0.012760549,0.036497485,0.026010992,0.019833485,0.017653365,0.015725605,0.012737437,0.012815372,0.0143235,0.01455182,0.014938931,0.014819395,0.015261206,0.03266125,0.028614137,0.015422081,0.0174314,0.01748595,0.018160593,0.016878758,0.018049372,0.016747845,0.015955852,0.017181288,0.018692534,0.029877078,0.029010601,0.015605591,0.0145127615,0.015578975,0.016763847,0.016464587,0.01531065,0.016080711,0.015391374,0.02014013,0.023600789,0.03380479,0.02591671,0.016610889,0.012680707,0.017151661,0.019354608,0.01619743,0.0149570275,0.015690584,0.018936388,0.02493564,0.02493564,0.031275697,0.018554442,0.014223614,0.017151097,0.019371126,0.021737661,0.018921899,0.016570468,0.019144539,0.022813756,0.028291646,0.028291646
430,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7927463,0.7545565,,0.7954448,,,,,,,,,,0.81146735,,,0.7710635,,,,,,,,,,0.7904237,,0.79139996,0.77440417,,,,0.8005368,0.80818665,0.81220955,0.8150247,0.81877637,0.8038176,0.8046894,0.8116958,0.7952035,0.7951253,0.8105578,0.79926246,0.7987054,0.7989758,0.8051345,0.8183901,0.81765807,0.8162724,0.8046235,0.8141041,0.81415373,0.8224186,0.8277194,0.8150742,0.81059355,0.80746686,0.80570775,0.8084134,0.8116601,0.8105371,0.8113856,0.8072829,0.8099367,0.81761086,0.8180156,0.81016207,0.8125892,0.811036,0.80322385,0.7950577,0.7950577,0.7641351,0.79035795,0.7920468,0.7991748,0.8026825,0.80730367,0.80490917,0.80482644,0.8051271,0.79964507,0.790387,0.790387
437,2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2021-05-25,,,,0.8028488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88780576,0.893711,,,,,,,,,,,,0.90132916,,0.90429235,,,,,,,,,,0.90274775,0.90423304,0.9047417,0.8994067,,,0.9016884,,,,,,,,0.9023151,0.89859396,,,,,,
439,2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2021-06-08,0.8925986,0.8766656,0.8083574,0.8179875,0.86713773,0.9004071,0.91222876,0.89616597,0.8369565,0.88195866,0.9064724,0.90812176,0.8249465,0.7909254,0.82923174,0.8679606,0.88172454,0.88973343,0.8778909,0.83589345,0.85065305,0.9040674,0.9028668,0.9015394,0.8453721,0.83426666,0.85078466,0.8793118,0.88158643,0.8252399,0.85585475,0.878671,0.8901201,0.9122134,0.90813106,0.90518695,0.9018065,0.8761952,0.8534953,0.81069636,0.8439673,0.78348976,0.83434165,0.8904945,0.90189284,0.90999687,0.901916,0.9065959,0.8815426,0.8736261,0.860488,0.77805555,0.81161296,0.8200873,0.87645715,0.88330746,0.9019965,0.9059351,0.9058947,0.9065234,0.8747835,0.87981707,0.88168687,0.86313623,0.8598702,0.8793602,0.8845218,0.89413965,0.9023314,0.9097274,0.9097925,0.90960723,0.8942936,0.9003427,0.90158105,0.89430076,0.88520014,0.89928454,0.8957613,0.89485264,0.9007697,0.90878254,0.90617496,0.90945697,0.9085277,0.90857357,0.90893453,0.9085261,0.91170835,0.9078765,0.90521324,0.90411854,0.90720415,0.9073169,0.9062933,0.9084345,0.91535944,0.9146574,0.91150075,0.9118464,0.91170913,0.90760124,0.9055791,0.9060375,0.9083964,0.90832824,0.9065592,0.9065592,0.90827936,0.9095502,0.9059725,0.9115512,0.9119689,0.90734315,0.90354496,0.9074987,0.9079244,0.90893936,0.9058705,0.9058705
441,2021-06-15,0.8925986,0.8766656,0.8083574,0.8179875,0.86713773,0.9004071,0.91222876,0.89616597,0.8369565,0.88195866,0.9064724,0.90812176,0.8249465,0.7909254,0.82923174,0.8679606,0.88172454,0.88973343,0.8778909,0.83589345,0.85065305,0.9040674,0.9028668,0.9015394,0.8453721,0.83426666,0.85078466,0.8793118,0.88158643,0.8252399,0.85585475,0.878671,0.8901201,0.9122134,0.90813106,0.90518695,0.9018065,0.8761952,0.8534953,0.81069636,0.8439673,0.78348976,0.83434165,0.8904945,0.90189284,0.90999687,0.901916,0.9065959,0.8815426,0.8736261,0.860488,0.77805555,0.81161296,0.8200873,0.87645715,0.88330746,0.9019965,0.9059351,0.9058947,0.9065234,0.8747835,0.87981707,0.88168687,0.86313623,0.8598702,0.8793602,0.8845218,0.89413965,0.9023314,0.9097274,0.9097925,0.90960723,0.8942936,0.9003427,0.90158105,0.89430076,0.88520014,0.89928454,0.8957613,0.89485264,0.9007697,0.90878254,0.90617496,0.90945697,0.9085277,0.90857357,0.90893453,0.9085261,0.91170835,0.9078765,0.90521324,0.90411854,0.90720415,0.9073169,0.9062933,0.9084345,0.91535944,0.9146574,0.91150075,0.9118464,0.91170913,0.90760124,0.9055791,0.9060375,0.9083964,0.90832824,0.9065592,0.9065592,0.90827936,0.9095502,0.9059725,0.9115512,0.9119689,0.90734315,0.90354496,0.9074987,0.9079244,0.90893936,0.9058705,0.9058705
442,2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2021-06-29,0.8510029,0.8375624,0.7621461,0.78313774,0.8272176,0.87277985,0.8858896,0.8666052,0.8108944,0.8448632,0.8704783,0.8752447,0.7697652,0.7309155,0.7831894,0.83204925,0.84514153,0.85706276,0.85313594,0.80607,0.8134341,0.869971,0.8648581,0.8635066,0.807982,0.78935874,0.79328626,0.8345338,0.8472461,0.7772163,0.814221,0.8423055,0.85609275,0.8823019,0.88187957,0.8738376,0.8693829,0.8330013,0.7934559,0.74878466,0.795827,0.74322873,0.7929308,0.86607665,0.8725246,0.8805305,0.86996186,0.8786814,0.8415312,0.8270523,0.7957271,0.71856934,0.76164114,0.7706293,0.817312,0.8488918,0.87224513,0.8840173,0.881532,0.8788082,0.83455986,0.8391114,0.82965,0.8074757,0.8105525,0.82559115,0.8277872,0.8550743,0.87658423,0.8844749,0.8843505,0.88500494,0.8557975,0.8644046,0.86873055,0.86212796,0.8374535,0.868523,0.8585158,0.85803294,0.875797,0.88384056,0.8836156,0.8851309,0.8692862,0.872644,0.88165796,0.8849943,0.8889477,0.88387704,0.8753747,0.87147796,0.8749346,0.8794061,0.88009447,0.8834608,0.8825579,0.88392097,0.8838868,0.88605654,0.88762736,0.88198733,0.87683004,0.8800325,0.8845361,0.8810894,0.8778224,0.8778224,0.8701969,0.87656164,0.87436444,0.8846802,0.8890615,0.87965244,0.8735182,0.87822145,0.88058597,0.87977076,0.8804168,0.8804168
444,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2021-07-27,0.8080168,0.7766292,0.7434072,0.7603396,0.802583,0.8518503,0.8625945,0.8322172,0.8072485,0.81996274,0.83434796,0.8399538,0.7507789,0.7310273,0.7793229,0.81080747,0.82312924,0.83127695,0.82547766,0.78605163,0.7990914,0.84276474,0.83222264,0.83842844,0.80696285,0.7242371,0.7678652,0.80638546,0.8142899,0.75088125,0.7978148,0.8168232,0.8340291,0.85558754,0.84734607,0.8408971,0.84006083,0.80395323,0.7420962,0.73176056,0.75767493,0.74795765,0.7576681,0.8357718,0.83960855,0.84500116,0.8405286,0.8483052,0.79922116,0.7978385,0.7443685,0.72563475,0.71698594,0.7582525,0.78904104,0.82574296,0.84728473,0.8535866,0.8527429,0.8489943,0.80113554,0.80577564,0.7836875,0.7679806,0.77063286,0.79899305,0.794374,0.8221965,0.8519844,0.85619736,0.8535443,0.84826714,0.8175015,0.8272655,0.8357448,0.82542735,0.81544936,0.8242226,0.81773597,0.82278544,0.8396403,0.8469583,0.8488888,0.84975827,0.82341087,0.82250524,0.8333669,0.8405383,0.85379946,0.8384144,0.830427,0.8278749,0.8362248,0.8408444,0.84564877,0.8463604,0.8415489,0.8332648,0.83845145,0.8413113,0.85352355,0.8339022,0.8300763,0.8307386,0.8343104,0.8389356,0.834111,0.834111,0.83720624,0.8385459,0.83433425,0.84994954,0.85939014,0.83960783,0.83613014,0.8344504,0.8354374,0.8364499,0.83054346,0.83054346
448,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2021-08-17,0.7991217,0.757787,0.70546186,0.7369549,0.7886786,0.83814895,0.8616745,0.851122,0.78679115,0.8102145,0.8377667,0.8446334,0.6917432,0.69762135,0.7588091,0.79971564,0.8177458,0.82171744,0.82078147,0.78182435,0.7842226,0.8412008,0.8219459,0.84153414,0.7701161,0.7321651,0.7441962,0.78803426,0.8155334,0.75543445,0.80650085,0.8166609,0.82773185,0.8354908,0.8401379,0.82672644,0.812099,0.78399754,0.7285107,0.68834054,0.7482568,0.71785325,0.7403295,0.8453603,0.836319,0.83931434,0.82411087,0.8350693,0.80089694,0.7803304,0.7225954,0.6793411,0.70905435,0.7318715,0.7731408,0.80939114,0.84152323,0.84511465,0.83382374,0.8365524,0.8226592,0.7906469,0.7555545,0.7297489,0.75641006,0.76931614,0.7624325,0.8086274,0.83311516,0.8513374,0.8454396,0.8401737,0.8164448,0.8004264,0.8102023,0.7956556,0.78024274,0.7968574,0.79804224,0.8041618,0.8308049,0.8496212,0.8458216,0.8345301,0.7991824,0.8069523,0.8062656,0.81180286,0.832573,0.80648106,0.7996149,0.80620384,0.81954354,0.84414065,0.8480122,0.84611535,0.7662771,0.8371487,0.84494513,0.8225102,0.83019644,0.80734533,0.795501,0.79353726,0.8110548,0.82491124,0.85132277,0.85132277,0.50657743,0.7638923,0.8397106,0.8236096,0.8544837,0.8281547,0.82050955,0.8164555,0.81141734,0.81323737,0.85769933,0.85769933
451,2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,2021-08-31,0.8048192,0.79852474,0.765041,0.7740557,0.80839866,0.8461993,0.86832446,0.851158,0.83516115,0.83518624,0.8459691,0.8473855,0.729135,0.7267992,0.7653021,0.822046,0.82062787,0.8400647,0.85016036,0.8149314,0.8276459,0.85197145,0.84189993,0.84495825,0.787573,0.72961676,0.78939754,0.8034606,0.82492733,0.76174086,0.810731,0.8301594,0.84473336,0.86136496,0.8523985,0.84464127,0.8234094,0.8145265,0.7573988,0.7495253,0.7795245,0.77985907,0.7898355,0.8513576,0.85239613,0.856928,0.8470716,0.8552186,0.79879737,0.8050122,0.75933427,0.7321656,0.7363227,0.7768567,0.80502695,0.8416007,0.8563679,0.85473776,0.8486474,0.8391488,0.7985802,0.80467916,0.7846083,0.7700904,0.78097355,0.81297493,0.8038014,0.8292418,0.8498724,0.8503251,0.8466997,0.84905505,0.79094446,0.7946423,0.8035887,0.809517,0.8126537,0.80990005,0.81771153,0.8234261,0.82468,0.83857286,0.85044795,0.8505254,0.7615843,0.7514676,0.78789717,0.81851137,0.8337031,0.8215433,0.8194617,0.82406944,0.83842087,0.8385752,0.8450272,0.84952426,0.79332405,0.7770673,0.8347586,0.8419598,0.83920944,0.8174675,0.82028395,0.8160998,0.827957,0.81854236,0.83490473,0.83490473,0.8382854,0.8386862,0.83649623,0.84843475,0.84960467,0.8326402,0.8358351,0.8253981,0.810589,0.79927975,0.8319982,0.8319982
453,2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,2021-09-14,0.75664324,0.7467698,0.69917446,0.7083446,0.74665064,0.79313415,0.8182066,0.80923665,0.78677815,0.7936128,0.8232241,0.8246126,0.6926412,0.7169949,0.7341747,0.74818385,0.7759658,0.79684794,0.810068,0.7793227,0.78015745,0.804311,0.8017888,0.8130636,0.7515318,0.72387576,0.7321532,0.770676,0.7913562,0.7516599,0.8027293,0.79828984,0.7991294,0.8067407,0.8079727,0.8087513,0.77499723,0.76807827,0.7520533,0.7340218,0.7655629,0.7487201,0.7832271,0.8316629,0.81172156,0.8190538,0.81054914,0.82221615,0.7804943,0.7805588,0.7510534,,,0.77469707,0.8071713,0.82206404,0.8285538,0.8237075,0.8185001,0.8193782,0.7969809,0.7958806,0.7786824,0.7743304,,0.7938124,0.7952338,0.8039989,0.8236412,0.8134334,0.8229235,0.8222437,0.7836567,0.77319044,0.794372,0.80613345,0.79087603,0.7843187,0.7932732,0.79914427,0.81057304,0.80836594,0.8215264,0.8213057,0.7546346,0.745245,0.77984697,0.79531497,0.7997126,0.78800464,0.7991568,0.8079367,0.8198475,0.80842865,0.8137477,0.82355946,0.7829589,0.7635443,0.79525,0.80723596,0.80437267,0.7884804,0.7985438,0.7902358,0.8197987,0.8069172,0.8219248,0.8219248,0.7864669,0.7906108,0.7933838,0.8081237,0.81244296,0.79448426,0.79704803,0.81262076,0.8203809,0.8053264,0.81903666,0.81903666
455,2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,2021-09-28,0.521872,0.5148757,0.47053546,0.4452099,0.45477542,0.48024425,0.53619903,0.59246165,0.64960045,0.6351069,0.6441643,0.63863486,0.49101916,0.46713188,0.43175521,0.44384632,0.46405998,0.47656348,0.5256696,0.57022077,0.6412353,0.644032,0.6408203,0.6344084,0.47018138,0.43515655,0.4268213,0.4626422,0.46927926,0.4536358,0.5086494,0.56342703,0.6425445,0.6458411,0.6485805,0.64196694,0.47145644,0.4487147,0.43008786,0.4444599,0.4585923,0.44960618,0.49821505,0.5728246,0.6446564,0.6468288,0.6249911,0.6217893,0.5116336,0.47672808,0.43080193,0.43402582,0.44383994,0.44952124,0.4967007,0.5584507,0.6373846,0.621768,0.618453,0.6277402,0.54986006,0.4861257,0.44258565,0.44510645,0.44048446,0.45497724,0.49262324,0.5669717,0.626476,0.6141171,0.6233879,0.62798655,0.5440888,0.4896416,0.44908068,0.45935783,0.46082237,0.532676,0.55432,0.581519,0.61273104,0.6301969,0.63662314,0.6387442,0.5301713,0.46596056,0.44117367,0.4712416,0.552499,0.6254756,0.62029606,0.6129591,0.62215483,0.62648857,0.63164043,0.63188463,0.5467306,0.47779742,0.49773645,0.53011644,0.5616916,0.61023486,0.6246345,0.61616236,0.62207144,0.59553784,0.5756713,0.5756713,0.608211,0.5671321,0.5557553,0.579883,0.5994413,0.6132934,0.6219304,0.61258185,0.6180722,0.56179446,0.53026116,0.53026116
457,2021-10-05,0.521872,0.5148757,0.47053546,0.4452099,0.45477542,0.48024425,0.53619903,0.59246165,0.64960045,0.6351069,0.6441643,0.63863486,0.49101916,0.46713188,0.43175521,0.44384632,0.46405998,0.47656348,0.5256696,0.57022077,0.6412353,0.644032,0.6408203,0.6344084,0.47018138,0.43515655,0.4268213,0.4626422,0.46927926,0.4536358,0.5086494,0.56342703,0.6425445,0.6458411,0.6485805,0.64196694,0.47145644,0.4487147,0.43008786,0.4444599,0.4585923,0.44960618,0.49821505,0.5728246,0.6446564,0.6468288,0.6249911,0.6217893,0.5116336,0.47672808,0.43080193,0.43402582,0.44383994,0.44952124,0.4967007,0.5584507,0.6373846,0.621768,0.618453,0.6277402,0.54986006,0.4861257,0.44258565,0.44510645,0.44048446,0.45497724,0.49262324,0.5669717,0.626476,0.6141171,0.6233879,0.62798655,0.5440888,0.4896416,0.44908068,0.45935783,0.46082237,0.532676,0.55432,0.581519,0.61273104,0.6301969,0.63662314,0.6387442,0.5301713,0.46596056,0.44117367,0.4712416,0.552499,0.6254756,0.62029606,0.6129591,0.62215483,0.62648857,0.63164043,0.63188463,0.5467306,0.47779742,0.49773645,0.53011644,0.5616916,0.61023486,0.6246345,0.61616236,0.62207144,0.59553784,0.5756713,0.5756713,0.608211,0.5671321,0.5557553,0.579883,0.5994413,0.6132934,0.6219304,0.61258185,0.6180722,0.56179446,0.53026116,0.53026116
458,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
