,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
428,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2021-03-23,0.20236902,0.31767896,0.40331382,0.43032917,0.49431717,0.4588466,0.4890259,0.5417196,0.605937,0.6280682,0.5656912,0.55038273,0.73505276,,0.7185084,0.45758933,0.55786103,0.561851,0.5928234,0.66242844,0.55061215,0.5383699,0.534373,0.56351876,0.59297776,0.5561641,0.6160219,,0.72122866,0.578897,0.57445,0.719157,,,,,0.69990724,0.6128213,0.62475955,0.5942657,0.63287026,,0.7166463,0.58770365,0.44225433,0.6156244,0.666568,0.67262226,,,,,0.7066496,0.64913523,0.594609,0.70010567,,0.5335572,0.42295903,0.3844678,0.41080153,0.44170237,0.5287964,0.61710334,0.62281656,,0.59416753,,0.5577535,0.42842078,0.41121495,0.46953768,0.35883188,0.2712204,0.27261966,0.25617978,0.2641754,0.2586601,0.26200783,0.3367914,0.46038955,0.5294193,,,0.56926876,0.415631,0.3872051,0.35170364,0.34467423,0.25998607,0.24451058,0.2227242,0.18204759,0.11888666,0.19590822,0.27703434,0.37509164,0.48291788,0.4578248,0.5419341,0.41431543,0.3429904,0.303911,0.28837255,0.28303325,0.24559326,0.13296802,0.13920106,0.15879746,0.19995074,0.27635166,0.252462,0.23977815,0.27653804,0.2735898,0.33133096,0.39561698,0.3629154,0.3010139,0.5135998,0.12270943,0.06626368,0.07622075,0.11260214,0.19460572,0.25624514,0.15947084,0.14614302,0.17020136,0.21263684,0.3407947,0.46872848,0.39163932,0.4681056,,0.1282297,0.08798328,0.083971485,0.12259097,0.18796927,0.17725572,0.13260278,0.13191475,0.12271501,0.19133878,0.38681537,0.5767309,0.4517353,0.512405,0.72707236,0.16792451,0.13362224,0.10532525,0.13778579,0.180409,0.13886057,0.10111534,0.10262937,0.09889556,0.12635359,0.32841817,0.5646998,0.57364213,0.31295422,0.35519528
430,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,2021-05-11,0.84345025,0.8500671,0.85629,0.8581725,0.84677035,0.84870476,0.8554413,0.8565765,0.853508,0.844813,0.8452538,0.8408394,0.8522288,0.83997196,0.8468732,0.8558152,0.8528579,0.85656464,0.85055584,0.846704,0.84249675,0.8423569,0.848509,0.85432464,0.84667647,0.8473735,0.85071516,0.8512168,0.8497049,0.84510505,0.8555264,0.8562145,0.85069543,0.84688354,0.84742516,0.84970003,0.8444838,0.84670824,0.8516388,0.84471476,0.83558536,0.84403855,0.85204375,0.85076207,0.84459025,0.853744,0.8446656,0.8369669,0.8380354,0.84047365,0.83011395,0.8520457,0.8590849,0.8540333,0.8490792,0.84897506,0.8453878,0.8525937,0.84685856,0.8424887,0.8515884,0.8414923,0.8370372,0.84154344,0.8265505,0.7577384,0.84193754,0.85973305,0.86108935,0.8554063,0.85342383,0.8486789,0.8417424,0.84141946,0.8352392,0.8447631,0.8374192,0.8404248,0.83748025,0.8180991,0.7540484,0.7992746,0.83291113,0.8359107,0.85150164,0.84613204,0.8391091,0.83065265,0.8300594,0.8306499,0.8347752,0.83126765,0.8321383,0.8293933,0.81911045,0.8015849,0.8189751,0.82425714,0.80502176,0.83248675,0.83713496,0.83625054,0.8269939,0.82334846,0.8302792,0.8348662,0.8329968,0.82800335,0.82305866,0.8194819,0.82791823,0.82182544,0.8331407,0.80894905,0.82638544,0.8291435,0.8356628,0.8091671,0.79558563,0.8159441,0.8433758,0.8387434,0.8341667,0.8357876,0.8319292,0.8325013,0.8235103,0.82661855,0.8236203,0.8227441,0.82893777,0.8261804,0.7904077,0.7767797,0.79493916,0.8429893,0.8389884,0.8362245,0.83385444,0.83281803,0.8314953,0.8185884,0.8144638,0.82019657,0.82220966,0.8241587,0.8236555,0.79525423,0.76552683,0.78427464,0.82889336,0.83195174,0.82968676,0.82823414,0.82834077,0.82049966,0.8216421,0.8144137,0.8151162,0.81763387,0.8068053,0.8184528,0.81259614,0.78512543,0.7703988
437,2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,2021-05-25,0.90800935,0.9018504,0.8981794,0.89893806,0.8957329,0.88816494,0.89167047,0.8908275,0.8896348,0.8857079,0.88872474,0.8964141,0.8929996,0.88774604,0.8870468,0.900351,0.90101683,0.8987538,0.89319086,0.89018905,0.8845323,0.88710374,0.89003205,0.8924157,0.8891721,0.88909847,0.8952472,0.8899622,0.88405657,0.870518,0.90097296,0.90017074,0.89505357,0.8878784,0.8875732,0.88807803,0.886678,0.8885649,0.89374584,0.89145035,0.88893753,0.8914372,0.8892132,0.88922715,0.8796032,0.90058017,0.8941622,0.88721013,0.8854283,0.8857714,0.8723766,0.89653707,0.90063643,0.90512025,0.8932552,0.88991046,0.88888574,0.89068234,0.8892653,0.88472676,0.89482844,0.8927561,0.88702166,0.8883169,0.86485,0.80674815,0.8881103,0.90570945,0.90702784,0.8980109,0.89030665,0.8869908,0.88666743,0.8882106,0.88495797,0.8983798,0.8954992,0.8917398,0.8894996,0.8836853,0.8100572,0.8660329,0.8753531,0.8927116,0.8980575,0.8936548,0.89134437,0.89024407,0.8948004,0.89298946,0.8922125,0.89226156,0.8864106,0.8860435,0.88427556,0.8496705,0.88457316,0.8899422,0.8490557,0.89008474,0.8942094,0.8962372,0.895665,0.8922893,0.8962591,0.88768834,0.88799727,0.88409495,0.88289917,0.8807835,0.8869514,0.88886863,0.8961294,0.8852926,0.890532,0.89420056,0.891426,0.8783221,0.8726102,0.890675,0.8868015,0.8835593,0.8846077,0.88615626,0.8879785,0.890245,0.8913171,0.89149916,0.8910306,0.8930963,0.8957048,0.8932541,0.8698198,0.85727924,0.88419074,0.889878,0.8830854,0.88566774,0.88676333,0.89200705,0.89352447,0.89185876,0.88621396,0.8916382,0.89479464,0.8945412,0.88948226,0.8776705,0.8543381,0.869971,0.8886432,0.89035785,0.888225,0.8881978,0.8906273,0.89528584,0.89458984,0.8877563,0.8945503,0.8966369,0.89360017,0.89772964,0.8960757,0.8760374,0.8715975
439,2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2021-06-08,0.9170764,0.90778494,0.90467274,0.9043138,0.903035,0.9008069,0.8993293,0.8977633,0.89538354,0.89423776,0.8968533,0.9017472,0.8997677,0.89538735,0.90048593,0.9127521,0.91244483,0.9086947,0.90444887,0.90098333,0.8947472,0.8913831,0.89667064,0.8983693,0.8977124,0.89539987,0.8997329,0.8995258,0.89650005,0.8984044,0.9118186,0.9096289,0.90404767,0.8971274,0.89502746,0.89581275,0.8921391,0.89797276,0.8983569,0.89934516,0.89842165,0.89809954,0.8989466,0.8980413,0.8951658,0.9089701,0.90147513,0.89655125,0.89561236,0.89355075,0.8819069,0.9032569,0.9114088,0.90961045,0.90131146,0.8978929,0.8976095,0.9025066,0.8992794,0.89902467,0.90455043,0.90225756,0.89761055,0.89986223,0.881778,0.8020644,0.8953597,0.91301376,0.9135907,0.90577495,0.8989973,0.8953544,0.9018636,0.90322274,0.9023713,0.9069747,0.9016181,0.89908224,0.8980337,0.8902153,0.835332,0.86930233,0.8925467,0.8972559,0.9048566,0.9001117,0.8977254,0.9008681,0.906198,0.90342385,0.8996692,0.9000806,0.89721423,0.89441305,0.8919404,0.87211025,0.892944,0.8931999,0.86080194,0.89728785,0.9031924,0.902839,0.9029969,0.8980299,0.9051752,0.8985993,0.8980489,0.9002793,0.89710003,0.89326173,0.8975424,0.895949,0.9078212,0.892267,0.9004557,0.9032131,0.900132,0.8798453,0.875623,0.89840764,0.90228665,0.89994687,0.9009888,0.8992318,0.8960781,0.89715797,0.897136,0.89931655,0.8978661,0.9000614,0.9012549,0.9009861,0.872812,0.85964817,0.8860144,0.8997333,0.8980965,0.8975046,0.89857256,0.9006684,0.90075845,0.89930815,0.89877635,0.90226525,0.9005189,0.9006515,0.898488,0.88097095,0.8587575,0.8807973,0.897501,0.89806396,0.8977652,0.8984081,0.8987663,0.90276027,0.9030672,0.8991581,0.90430367,0.90135825,0.89933324,0.90014577,0.8982401,0.88274914,0.8707135
441,2021-06-15,0.9170764,0.90778494,0.90467274,0.9043138,0.903035,0.9008069,0.8993293,0.8977633,0.89538354,0.89423776,0.8968533,0.9017472,0.8997677,0.89538735,0.90048593,0.9127521,0.91244483,0.9086947,0.90444887,0.90098333,0.8947472,0.8913831,0.89667064,0.8983693,0.8977124,0.89539987,0.8997329,0.8995258,0.89650005,0.8984044,0.9118186,0.9096289,0.90404767,0.8971274,0.89502746,0.89581275,0.8921391,0.89797276,0.8983569,0.89934516,0.89842165,0.89809954,0.8989466,0.8980413,0.8951658,0.9089701,0.90147513,0.89655125,0.89561236,0.89355075,0.8819069,0.9032569,0.9114088,0.90961045,0.90131146,0.8978929,0.8976095,0.9025066,0.8992794,0.89902467,0.90455043,0.90225756,0.89761055,0.89986223,0.881778,0.8020644,0.8953597,0.91301376,0.9135907,0.90577495,0.8989973,0.8953544,0.9018636,0.90322274,0.9023713,0.9069747,0.9016181,0.89908224,0.8980337,0.8902153,0.835332,0.86930233,0.8925467,0.8972559,0.9048566,0.9001117,0.8977254,0.9008681,0.906198,0.90342385,0.8996692,0.9000806,0.89721423,0.89441305,0.8919404,0.87211025,0.892944,0.8931999,0.86080194,0.89728785,0.9031924,0.902839,0.9029969,0.8980299,0.9051752,0.8985993,0.8980489,0.9002793,0.89710003,0.89326173,0.8975424,0.895949,0.9078212,0.892267,0.9004557,0.9032131,0.900132,0.8798453,0.875623,0.89840764,0.90228665,0.89994687,0.9009888,0.8992318,0.8960781,0.89715797,0.897136,0.89931655,0.8978661,0.9000614,0.9012549,0.9009861,0.872812,0.85964817,0.8860144,0.8997333,0.8980965,0.8975046,0.89857256,0.9006684,0.90075845,0.89930815,0.89877635,0.90226525,0.9005189,0.9006515,0.898488,0.88097095,0.8587575,0.8807973,0.897501,0.89806396,0.8977652,0.8984081,0.8987663,0.90276027,0.9030672,0.8991581,0.90430367,0.90135825,0.89933324,0.90014577,0.8982401,0.88274914,0.8707135
442,2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2021-06-29,0.88265574,0.87461287,0.86945343,0.8718093,0.87024605,0.8711694,0.8695871,0.8675138,0.8638059,0.8617497,0.8631532,0.87019354,0.87013936,0.86515623,0.8708833,0.8804305,0.8791385,0.8804476,0.87399656,0.869353,0.86372703,0.8594167,0.86510813,0.86859095,0.8664868,0.86482346,0.87240756,0.8677678,0.86619604,0.8684409,0.88209474,0.8820748,0.8761037,0.86897355,0.8645042,0.86457855,0.8612369,0.866532,0.8708697,0.87121516,0.86505616,0.8645767,0.8618858,0.8652297,0.8636351,0.88052636,0.87533194,0.86504585,0.86106324,0.860689,0.8533545,0.87100697,0.88041884,0.8788287,0.8707474,0.8646589,0.86010134,0.86453193,0.8674291,0.8627198,0.8769284,0.87312484,0.86605686,0.8629635,0.8430171,0.75743055,0.86452705,0.8818994,0.8849716,0.87209934,0.86067086,0.8594626,0.8655592,0.8743881,0.8719712,0.8762004,0.8704156,0.86769986,0.8639953,0.8526561,0.8016122,0.834364,0.8683811,0.8680145,0.86973953,0.857402,0.8611311,0.86879826,0.87630177,0.875126,0.8744469,0.86762786,0.8550157,0.8593462,0.8592789,0.8422868,0.8598137,0.8568494,0.8212406,0.8618662,0.8668999,0.8706767,0.87310916,0.86369073,0.8792476,0.8695655,0.8689585,0.848157,0.8620219,0.85801786,0.86164165,0.866847,0.8725267,0.85946184,0.8707964,0.8750762,0.87364674,0.8447235,0.83646744,0.8677105,0.86949736,0.86335313,0.86206996,0.8651686,0.8650095,0.8659583,0.86468446,0.86536205,0.865755,0.8707376,0.8755819,0.8701648,0.83396155,0.8053934,0.8530246,0.87035376,0.86742896,0.86225665,0.8631565,0.86730605,0.8680051,0.8641085,0.8645086,0.8692928,0.87454665,0.87392545,0.87089247,0.8486078,0.8185747,0.84725785,0.865299,0.86753243,0.86338407,0.86551595,0.87198216,0.8694693,0.8690576,0.86970097,0.8718182,0.8765881,0.8724721,0.8724073,0.867731,0.847157,0.8316012
444,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2021-07-27,0.8565814,0.8481277,0.8347715,0.8457501,0.8497233,0.8495379,0.84617835,0.8440552,0.84248155,0.8392895,0.8483179,0.8521002,0.856669,0.8522587,0.8522495,0.85180265,0.8546366,0.8545083,0.8544668,0.8487778,0.8416162,0.837926,0.8423234,0.84644186,0.8462763,0.8524861,0.858202,0.8550645,0.8503847,0.84726435,0.8556851,0.85750306,0.85751325,0.84990996,0.84549445,0.8432988,0.8388337,0.84336317,0.85418046,0.855633,0.85173213,0.85311306,0.8522614,0.84919024,0.8377218,0.85749084,0.8540077,0.8506011,0.8493165,0.8471703,0.83022726,0.8533811,0.8609201,0.8656721,0.8560066,0.84958255,0.8487945,0.8509099,0.8501522,0.8411617,0.8575769,0.8549882,0.8521267,0.8546206,0.82831633,0.7916512,0.85152537,0.8665397,0.86761975,0.85449827,0.8436053,0.84587264,0.85434216,0.8598526,0.8542256,0.8586001,0.85650074,0.85573393,0.850881,0.8398822,0.79581535,0.8345418,0.8406848,0.851831,0.8474824,0.84272045,0.8512321,0.85295945,0.85846645,0.8537661,0.85381526,0.85223025,0.85397553,0.8505055,0.846479,0.8361857,0.84978116,0.8461812,0.8134378,0.84491,0.8504118,0.8534578,0.85163987,0.8478499,0.86121917,0.85036135,0.8534373,0.85525227,0.8543091,0.8575653,0.85749376,0.8521909,0.8580986,0.8442056,0.8525787,0.8532778,0.8469642,0.82482123,0.8249468,0.85423243,0.85710347,0.8555633,0.8567303,0.8523272,0.8497384,0.849395,0.8487983,0.84811825,0.84810954,0.85164857,0.8513027,0.8505808,0.8157854,0.80077404,0.84229946,0.8565006,0.8536352,0.8469696,0.84433806,0.8477391,0.8511848,0.8490192,0.84602094,0.8482299,0.85474145,0.8500678,0.8508445,0.8271443,0.7981421,0.82252246,0.85264057,0.8519414,0.8417371,0.84437263,0.8510053,0.8526022,0.8517492,0.8523941,0.85278827,0.8551203,0.849842,0.84614164,0.84969676,0.82379436,0.81713605
448,2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2021-08-17,0.8621205,0.8306259,0.81452763,0.8412557,0.8512605,0.8487797,0.841745,0.84225225,0.83712316,0.8377256,0.8447529,0.8565039,0.85112715,0.849457,0.8510171,0.8535961,0.8443219,0.8545285,0.85600257,0.84962946,0.83511394,0.82955176,0.8369176,0.8390892,0.840063,0.84685016,0.85693455,0.8495401,0.84563386,0.84670573,0.8520752,0.8585597,0.85781556,0.8510734,0.84239054,0.8381013,0.83268946,0.8385757,0.84341925,0.8470674,0.85319096,0.8521403,0.841873,0.8321422,0.82804435,0.85019076,0.8504611,0.84621066,0.8459458,0.8440563,0.834217,0.85403126,0.8590581,0.86072,0.85233176,0.84718543,0.84281856,0.8381508,0.8308283,0.8281638,0.8520177,0.8579529,0.8529103,0.85117406,0.8366264,0.7634661,0.85796714,0.8635971,0.8647725,0.84423256,0.837046,0.84296054,0.84992963,0.8504846,0.84738916,0.85780126,0.85706747,0.85529524,0.8535133,0.8384135,0.797616,0.82264626,0.84739774,0.8523381,0.84530747,0.83500504,0.8446971,0.85164136,0.85868126,0.85243297,0.85418195,0.85395545,0.85278744,0.84941864,0.84751797,0.8447612,0.8498213,0.84247446,0.8158544,0.8441892,0.8500377,0.8581036,0.85366935,0.8533886,0.8586334,0.84875506,0.8502651,0.85837233,0.85446626,0.8506233,0.8550012,0.84896535,0.854328,0.8445479,0.85156643,0.8533007,0.8539115,0.8256229,0.8345033,0.86019135,0.85883665,0.8569602,0.8616948,0.8518081,0.84531784,0.8420462,0.8431077,0.84715164,0.8497585,0.8484448,0.8506001,0.8468231,0.8192801,0.8024742,0.8457417,0.8577081,0.85564333,0.8465853,0.8415404,0.8420699,0.8454765,0.8471941,0.8482254,0.8531315,0.8525241,0.85304475,0.8536025,0.83092403,0.80374074,0.8297709,0.8520065,0.845608,0.84139395,0.84727454,0.8497694,0.8541799,0.8541406,0.8537194,0.86218435,0.85646766,0.86123043,0.8516024,0.84967434,0.8268236,0.8068493
451,2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,2021-08-31,0.8738266,0.8550415,0.83530825,0.85943156,0.8652457,0.8622472,0.8594247,0.8569264,0.84992737,0.8484057,0.8588928,0.86662936,0.86276686,0.86361986,0.86477727,0.8627175,0.8669777,0.8694677,0.8692732,0.86196053,0.8563585,0.84995085,0.85537803,0.8547204,0.85115296,0.8548318,0.8662116,0.8621374,0.8594947,0.85978407,0.8693868,0.8760974,0.8736052,0.86802256,0.85770965,0.8555108,0.846398,0.85406774,0.85948133,0.86215985,0.86500245,0.8632686,0.85916847,0.8573316,0.8525882,0.872146,0.8683324,0.8650076,0.86132026,0.860352,0.83892864,0.86579555,0.87297267,0.87409127,0.86553735,0.8609229,0.8564992,0.8553858,0.8526866,0.8534114,0.8732713,0.8718969,0.86844146,0.8667849,0.85177666,0.81927943,0.87047285,0.8788447,0.8788572,0.86149657,0.85237855,0.8544573,0.861607,0.8697303,0.8671765,0.8760736,0.8743005,0.8715548,0.8679755,0.8547102,0.82219136,0.8499925,0.86118823,0.86856896,0.86063874,0.85323125,0.85794425,0.86453265,0.86994046,0.87269074,0.8677602,0.8712348,0.86498964,0.86188185,0.8608501,0.85695684,0.8692168,0.86503005,0.85326463,0.86040705,0.86117554,0.8681642,0.86834186,0.87325007,0.8782246,0.8658234,0.863475,0.8630017,0.8631893,0.86153585,0.8648609,0.8643827,0.8711426,0.86155057,0.86506027,0.87040913,0.86986417,0.8609162,0.85258234,0.87477916,0.87145877,0.8661904,0.8667873,0.86273485,0.85817266,0.8601126,0.86067206,0.86180687,0.8649357,0.8645225,0.867175,0.8701676,0.84694725,0.8325392,0.86486375,0.87026584,0.864535,0.8573767,0.85043234,0.8565379,0.8605489,0.8615167,0.8637056,0.87043965,0.87209654,0.8701415,0.8674177,0.84860104,0.83113897,0.8516648,0.8678105,0.8614753,0.8537892,0.8585139,0.8649341,0.86714554,0.8684184,0.8697843,0.87438434,0.8759216,0.8751414,0.8696776,0.86730194,0.8512688,0.8442961
453,2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,2021-09-14,0.8259213,0.81868654,0.80093664,0.823786,0.8310554,0.8373223,0.838017,,,,0.842845,0.8517679,0.8518574,0.85690296,0.86193323,0.82843816,,0.84288543,0.83921546,0.8347265,0.8311342,0.8303358,0.8310024,0.828577,0.82153136,0.8358403,0.8533995,0.85462296,0.85660386,0.858388,0.8298213,0.8527182,0.8521973,0.83340216,0.8296141,0.83198065,0.82539636,0.8303558,0.8424488,0.840508,0.8423669,0.85428685,0.854776,0.8474572,0.8456236,0.82762516,0.8349429,0.8352419,0.8320356,0.83611083,0.8382519,0.8472129,0.84809184,0.85398376,0.8472152,0.84720343,0.85101014,0.84593844,0.8460901,0.8467839,0.8359919,0.8366941,0.8333623,0.83861303,0.8340734,0.81320316,0.86510336,0.8742485,0.8657825,0.8448726,0.84555614,0.844329,0.85900915,0.8667849,0.8653328,0.8418082,0.840629,0.83322567,0.8407414,0.84097755,0.8225022,0.85024804,0.86836374,0.8632269,0.85545003,0.8477897,0.85259676,0.8588585,0.86705214,0.8673016,0.83178645,0.841084,0.8415581,0.8370184,0.83934194,0.84997547,0.8642567,0.87064326,0.84741944,0.8513726,0.85432935,0.8571387,0.8576416,0.85807717,0.8690466,0.82279503,0.8351446,0.8479733,0.8404327,0.8407828,0.84553593,0.8494245,0.86353594,0.85312164,0.85355675,0.85737795,0.85756445,0.85189945,0.8450147,0.86150354,0.8316364,0.83968276,0.84365857,0.8394862,0.83155316,0.8293929,0.8347214,0.8443402,0.8504264,0.85084194,0.8547757,0.85221654,0.84008944,0.8234401,0.85174453,0.8378882,0.8441609,0.8351061,0.8312716,0.82697535,0.83686286,0.84005547,0.84169984,0.85241187,0.8552979,0.8569567,0.8491015,0.84170717,0.8256181,0.8358832,0.8493549,0.84609634,0.8305433,0.8323926,0.8405826,0.8464393,0.8471569,0.8487237,0.8544301,0.8537166,0.8554981,0.8466527,0.8571106,0.84409785,0.777007
455,2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
